Feature,Correlation
prob_alive,0.2444159032794035
purchase_regularity,0.22140198785573087
purchase_gap_cv,-0.21497316948701067
Tenure,-0.21406655223150092
predicted_purchases_180d,-0.20916182256339255
predicted_purchases_90d,-0.20916182199343514
predicted_purchases_30d,-0.20916182161216015
day_of_week_diversity,-0.20332678640906438
Recency,0.1853565838524637
purchase_gap_std,-0.18189944821787787
CLV_90d,-0.13020121765252404
CLV_180d,-0.1302012176275605
CLV_365d,-0.1302012175842275
product_diversity_ratio,0.12454947464502644
Monetary,-0.12318077863619546
purchase_gap_mean,-0.1159404353530717
unique_products,-0.10672325581096499
Frequency,-0.10478943577236384
avg_items_per_order,-0.06846310229783097
purchase_gap_velocity,-0.06357830560331906
product_exploration_rate,-0.036381996409178934
weekend_purchase_ratio,-0.034075707762563384
revenue_trend,-0.03160725164611405
early_period_revenue,-0.030314263235486315
quantity_velocity,-0.028622501614830615
AvgBasketSize,0.02626135558835401
revenue_velocity,0.019300901235479985
AvgOrderValue,-0.01808046376922928
late_period_revenue,-0.006694641026155805
predicted_avg_value,0.0017534862493808628
