Feature,Importance
Monetary,0.12821162626660132
Frequency,0.06499830840934764
avg_items_per_order,0.06401822031738101
early_period_revenue,0.04754183781599672
predicted_purchases_180d,0.04703770449359273
AvgBasketSize,0.0446263597412816
predicted_purchases_30d,0.044014473318178815
late_period_revenue,0.043676827804021566
predicted_purchases_90d,0.043043445284618696
product_diversity_ratio,0.03817195427585704
CLV_180d,0.038094380206914434
revenue_velocity,0.038089498893030704
quantity_velocity,0.03779437326922668
AvgOrderValue,0.03472942876816285
purchase_gap_mean,0.033519444134557666
unique_products,0.03211013383166073
product_exploration_rate,0.031241319012109647
CLV_365d,0.030775638652523384
Tenure,0.030532791887642366
CLV_90d,0.02983372636008341
Recency,0.025335654197775392
purchase_gap_std,0.024695530296199482
purchase_gap_cv,0.01977436702261653
purchase_gap_velocity,0.010767537117784543
predicted_avg_value,0.006600609514481614
purchase_regularity,0.005231983572536474
revenue_trend,0.0029263505710735676
weekend_purchase_ratio,0.00202065578549955
day_of_week_diversity,0.0005858191792438929
prob_alive,0.0
